article	complexity_without_optional_paragraphs	complexity_with_optional_paragraphs
APNews_0.html.gz	0.5822784810126582	0.5578661844484629
APNews_1.html.gz	0.6257378984651711	0.6068476977567887
APNews_2.html.gz	0.5883458646616542	0.5817669172932332
APNews_3.html.gz	0.846830985915493	0.8186619718309859
APNews_4.html.gz	0.5504672897196261	0.5130841121495326
CNBC_0.html.gz	0.6297872340425532	0.5510638297872341
CNBC_1.html.gz	0.5197568389057751	0.44452887537993924
CNBC_2.html.gz	0.43847722637661457	0.39360978925900747
CNBC_3.html.gz	0.49720279720279725	0.4482517482517483
CNBC_4.html.gz	0.8311808118081181	0.8256457564575646
FoxNews_0.html.gz	0.4391143911439115	0.4016868740115973
FoxNews_1.html.gz	0.47266703478741023	0.4566537824406405
FoxNews_2.html.gz	0.6539087947882736	0.6262214983713354
FoxNews_3.html.gz	0.7202486678507993	0.6998223801065719
FoxNews_4.html.gz	0.7066869300911853	0.6907294832826747
FreeBeacon_0.html.gz	0.42621145374449343	0.42621145374449343
FreeBeacon_1.html.gz	0.5366614664586584	0.5366614664586584
FreeBeacon_2.html.gz	0.6043771043771045	0.6043771043771045
FreeBeacon_3.html.gz	0.6036789297658862	0.6036789297658862
FreeBeacon_4.html.gz	0.34375	0.34375
LATimes_0.html.gz	0.3550773369199731	0.35238735709482183
LATimes_1.html.gz	0.4111762676785098	0.4111762676785098
LATimes_2.html.gz	0.3137742416708106	0.3137742416708106
LATimes_3.html.gz	0.34457181389076197	0.34457181389076197
LATimes_4.html.gz	0.43180864456567347	0.43180864456567347
OccupyDemocrats_0.html.gz	0.587962962962963	0.587962962962963
OccupyDemocrats_1.html.gz	0.5483870967741935	0.5232974910394266
OccupyDemocrats_2.html.gz	0.39283047050037345	0.39283047050037345
OccupyDemocrats_3.html.gz	0.39662710805746404	0.37414116177389134
OccupyDemocrats_4.html.gz	0.555198285101822	0.555198285101822
Reuters_0.html.gz	0.8940298507462686	0.8746268656716418
Reuters_1.html.gz	0.6607734806629835	0.6497237569060774
Reuters_2.html.gz	0.9032258064516129	0.8847926267281105
Reuters_3.html.gz	0.7584541062801933	0.7326892109500804
Reuters_4.html.gz	0.41512125534950073	0.3794579172610556
TheGatewayPundit_0.html.gz	0.5981941309255079	0.5981941309255079
TheGatewayPundit_1.html.gz	0.6129032258064516	0.6129032258064516
TheGatewayPundit_2.html.gz	0.6154747948417351	0.6154747948417351
TheGatewayPundit_3.html.gz	0.7041763341067285	0.7041763341067285
TheGatewayPundit_4.html.gz	0.41168569509738084	0.40631296171927467
TheGuardian_0.html.gz	0.13723150357995229	0.09397374701670647
TheGuardian_1.html.gz	0.367561260210035	0.34072345390898484
TheGuardian_2.html.gz	0.20646319569120286	0.18491921005385992
TheGuardian_3.html.gz	0.19882275997383914	0.17658600392413337
TheGuardian_4.html.gz	0.510688836104513	0.4584323040380047
TheIndependent_0.html.gz	0.5874233128834356	0.5766871165644172
TheIndependent_1.html.gz	0.8958470665787739	0.8958470665787739
TheIndependent_2.html.gz	0.6685393258426966	0.6348314606741573
TheIndependent_3.html.gz	0.5453846153846154	0.5384615384615384
TheIndependent_4.html.gz	0.8385291766586731	0.8193445243804955
TheIntercept_0.html.gz	0.14980102330869816	0.14383172256964183
TheIntercept_1.html.gz	0.3802008608321378	0.35868005738880915
TheIntercept_2.html.gz	0.24254473161033796	0.231610337972167
TheIntercept_3.html.gz	0.7438752783964365	0.6837416481069043
TheIntercept_4.html.gz	0.10560146923783287	0.10428964974419519
TheNation_0.html.gz	0.3700305810397554	0.3612931411096548
TheNation_1.html.gz	0.22231735159817356	0.2134703196347032
TheNation_2.html.gz	0.443461781427669	0.427037271004422
TheNation_3.html.gz	0.38719359679839915	0.37618809404702347
TheNation_4.html.gz	0.4292237442922374	0.4129158512720157
TheNewYorker_0.html.gz	0.1539993362097577	0.14404248257550611
TheNewYorker_1.html.gz	0.07758351545426168	0.07180768029971907
TheNewYorker_2.html.gz	0.3322734499205088	0.3068362480127186
TheNewYorker_3.html.gz	0.18057187622405013	0.16921269095182134
TheNewYorker_4.html.gz	0.09101174345076779	0.08220415537488712
TheTelegraph_0.html.gz	0.395676219205631	0.38763197586726994
TheTelegraph_1.html.gz	0.21246006389776362	0.21246006389776362
TheTelegraph_2.html.gz	0.6388308977035491	0.6210855949895615
TheTelegraph_3.html.gz	0.2246815619127166	0.2246815619127166
TheTelegraph_4.html.gz	0.478025693035835	0.46788370520622047
WashingtonTimes_0.html.gz	0.5806451612903225	0.5738539898132428
WashingtonTimes_1.html.gz	0.6330532212885154	0.6246498599439776
WashingtonTimes_2.html.gz	0.6078602620087337	0.5903930131004367
WashingtonTimes_3.html.gz	0.5658978583196046	0.5584843492586491
WashingtonTimes_4.html.gz	0.5191424196018377	0.5122511485451762
iNews_0.html.gz	0.39568345323741005	0.3771839671120246
iNews_1.html.gz	0.10784601821921835	0.10138113429327067
iNews_2.html.gz	0.29390997352162396	0.2744924977934686
iNews_3.html.gz	0.22761380690345168	0.19609804902451222
iNews_4.html.gz	0.10697305863708395	0.10063391442155312
